Unnamed: 0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,duration_binned,amount_binned,age_binned
147,1,12,2,car (used),1262,5,5,2,male : divorced/separated,none,4,car or other,49,none,2,1,2,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",47-52
148,4,12,2,retraining,1542,1,4,2,male : married/widowed,none,4,building soc. savings agr./life insurance,36,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",35-41
149,2,24,4,furniture/equipment,1743,1,5,4,male : married/widowed,none,2,car or other,48,none,2,2,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",47-52
150,3,12,1,furniture/equipment,409,4,3,3,female : non-single or male : single,none,3,unknown / no property,42,none,1,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
151,4,12,2,furniture/equipment,2171,1,2,2,female : non-single or male : single,none,2,building soc. savings agr./life insurance,29,bank,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
152,4,48,4,car (new),8858,5,4,2,male : married/widowed,none,1,real estate,35,none,3,2,3,0 to 2,2,2,1,"(44.8, 51.6]","(7519.6, 9337.0]",30-35
153,2,24,2,others,3512,2,4,2,male : married/widowed,none,3,building soc. savings agr./life insurance,38,bank,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
154,2,12,2,furniture/equipment,1158,3,3,3,male : divorced/separated,none,1,building soc. savings agr./life insurance,26,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
155,4,24,4,furniture/equipment,2684,1,3,4,male : married/widowed,none,2,unknown / no property,35,none,2,2,2,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
156,1,12,2,furniture/equipment,1498,1,3,4,female : non-single or male : single,none,1,building soc. savings agr./life insurance,23,bank,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
157,4,30,4,furniture/equipment,5954,1,4,3,male : married/widowed,co-applicant,2,building soc. savings agr./life insurance,38,none,2,1,3,0 to 2,1,2,1,"(24.4, 31.2]","(5702.2, 7519.6]",35-41
158,2,48,1,retraining,6416,1,5,4,female : non-single or male : single,none,3,real estate,59,none,1,1,3,0 to 2,1,2,0,"(44.8, 51.6]","(5702.2, 7519.6]",58-63
159,2,12,4,car (used),3617,1,5,1,male : married/widowed,none,4,building soc. savings agr./life insurance,28,none,1,3,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
160,4,12,4,furniture/equipment,1291,1,3,4,female : non-single or male : single,none,2,car or other,35,none,2,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
161,3,24,4,retraining,1275,4,3,2,male : divorced/separated,none,4,unknown / no property,36,none,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
162,4,24,2,car (used),3972,1,4,2,female : non-single or male : single,none,4,car or other,25,none,1,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",24-30
163,4,15,4,car (used),3343,1,3,4,male : married/widowed,none,2,real estate,28,none,3,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
164,3,15,2,repairs,392,1,2,4,female : non-single or male : single,none,4,car or other,23,none,1,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
165,4,9,4,others,2134,1,3,4,male : married/widowed,none,4,building soc. savings agr./life insurance,48,none,2,3,3,0 to 2,2,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",47-52
166,4,30,4,furniture/equipment,5771,1,4,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,25,none,2,2,3,0 to 2,1,2,1,"(24.4, 31.2]","(5702.2, 7519.6]",24-30
167,4,24,4,retraining,4526,1,3,3,male : married/widowed,none,2,unknown / no property,74,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",69-75
168,4,15,4,car (used),2788,1,4,2,female : non-single or male : single,co-applicant,3,building soc. savings agr./life insurance,24,bank,2,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",18-24
169,4,6,4,furniture/equipment,1382,1,3,1,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,none,2,2,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
170,3,36,2,furniture/equipment,5848,1,3,4,male : married/widowed,none,1,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",18-24
171,1,12,2,others,1228,1,3,4,female : non-single or male : single,none,2,unknown / no property,24,none,2,1,2,0 to 2,1,2,0,"(10.8, 17.6]","(231.826, 2067.4]",18-24
172,3,12,2,furniture/equipment,1297,1,3,3,female : single,none,4,unknown / no property,23,none,1,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
173,4,24,2,furniture/equipment,1552,1,4,3,male : married/widowed,none,1,building soc. savings agr./life insurance,32,bank,2,1,3,3 or more,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
174,4,12,2,furniture/equipment,1963,1,4,4,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,1,2,4,3 or more,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
175,4,24,2,furniture/equipment,3235,3,5,3,male : divorced/separated,none,2,building soc. savings agr./life insurance,36,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
176,4,24,4,retraining,4139,2,3,3,male : married/widowed,none,3,car or other,27,none,2,2,2,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",24-30
177,2,12,4,car (new),1804,2,2,3,male : married/widowed,none,4,car or other,44,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
178,4,18,2,retraining,1950,1,4,4,male : married/widowed,none,1,building soc. savings agr./life insurance,34,stores,2,2,3,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
179,4,48,3,furniture/equipment,12749,3,4,4,male : married/widowed,none,1,building soc. savings agr./life insurance,37,none,2,1,4,0 to 2,2,2,1,"(44.8, 51.6]","(11154.4, 12971.8]",35-41
180,4,9,2,radio/television,1236,1,2,1,female : non-single or male : single,none,4,unknown / no property,23,none,1,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
181,4,18,4,others,1055,1,2,4,female : non-single or male : single,none,1,car or other,30,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
182,1,30,0,retraining,8072,5,2,2,male : married/widowed,none,3,building soc. savings agr./life insurance,25,bank,2,3,3,0 to 2,1,2,1,"(24.4, 31.2]","(7519.6, 9337.0]",24-30
183,4,30,4,furniture/equipment,2831,1,3,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,33,none,2,1,3,0 to 2,2,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",30-35
184,4,9,2,retraining,1449,1,4,3,female : non-single or male : single,none,2,building soc. savings agr./life insurance,27,none,2,2,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
185,4,36,2,retraining,5742,2,4,2,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,2,3,0 to 2,2,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",30-35
186,4,12,2,others,2390,5,5,4,male : married/widowed,none,3,building soc. savings agr./life insurance,50,none,2,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",47-52
187,4,24,2,furniture/equipment,3430,3,5,3,male : married/widowed,none,2,building soc. savings agr./life insurance,31,none,2,1,3,3 or more,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
188,2,36,2,repairs,2273,1,4,3,male : married/widowed,none,1,building soc. savings agr./life insurance,32,none,2,2,3,3 or more,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",30-35
189,3,21,2,others,2923,2,3,1,female : non-single or male : single,none,1,building soc. savings agr./life insurance,28,bank,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
190,4,24,2,furniture/equipment,1901,2,3,4,male : married/widowed,none,4,building soc. savings agr./life insurance,29,none,1,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
191,2,36,2,repairs,3711,5,3,2,female : single,none,2,building soc. savings agr./life insurance,27,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",24-30
192,2,48,2,others,8487,5,4,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,1,2,1,"(44.8, 51.6]","(7519.6, 9337.0]",18-24
193,4,24,2,others,2255,5,2,4,male : married/widowed,none,1,car or other,54,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",52-58
194,4,12,2,furniture/equipment,1262,1,3,3,male : married/widowed,none,2,building soc. savings agr./life insurance,25,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
195,4,33,4,car (new),7253,1,4,3,male : married/widowed,none,2,building soc. savings agr./life insurance,35,none,2,2,4,0 to 2,2,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",30-35
196,4,6,4,others,6761,1,4,1,male : married/widowed,none,3,real estate,45,none,2,2,4,3 or more,2,2,1,"(3.932, 10.8]","(5702.2, 7519.6]",41-47
197,4,18,4,car (used),1817,1,3,4,female : non-single or male : single,none,2,real estate,28,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",24-30
198,4,12,2,furniture/equipment,2141,2,4,3,male : married/widowed,none,1,real estate,35,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",30-35
199,4,48,1,retraining,3609,1,3,1,female : non-single or male : single,none,1,unknown / no property,27,stores,2,1,3,0 to 2,1,2,1,"(44.8, 51.6]","(2067.4, 3884.8]",24-30
200,4,30,2,furniture/equipment,2333,3,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,30,bank,2,1,4,0 to 2,1,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",24-30
201,4,28,1,car (new),7824,5,2,3,male : married/widowed,guarantor,4,unknown / no property,40,bank,1,2,3,3 or more,2,2,1,"(24.4, 31.2]","(7519.6, 9337.0]",35-41
202,3,18,1,furniture/equipment,1445,5,4,4,male : married/widowed,none,4,building soc. savings agr./life insurance,49,bank,2,1,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",47-52
203,1,24,2,car (used),7721,5,2,1,female : non-single or male : single,none,2,car or other,30,none,2,1,3,0 to 2,2,1,1,"(17.6, 24.4]","(7519.6, 9337.0]",24-30
204,1,21,2,others,3763,5,4,2,male : married/widowed,co-applicant,2,unknown / no property,24,none,2,1,2,0 to 2,1,1,1,"(17.6, 24.4]","(2067.4, 3884.8]",18-24
205,2,18,2,retraining,4439,1,5,1,male : married/widowed,co-applicant,1,unknown / no property,33,bank,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
206,1,12,2,furniture/equipment,1107,1,3,2,male : married/widowed,none,2,unknown / no property,20,none,1,1,4,3 or more,2,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
207,2,15,2,furniture/equipment,1444,5,2,4,male : married/widowed,none,1,car or other,23,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
208,2,48,1,others,12169,5,1,4,male : married/widowed,co-applicant,4,real estate,36,none,3,1,4,0 to 2,2,2,1,"(44.8, 51.6]","(11154.4, 12971.8]",35-41
209,4,9,2,furniture/equipment,2753,2,5,3,male : married/widowed,co-applicant,4,building soc. savings agr./life insurance,35,none,2,1,3,0 to 2,2,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",30-35
210,3,4,2,others,1494,5,2,1,male : married/widowed,none,2,unknown / no property,29,none,2,1,2,3 or more,1,1,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
211,1,24,1,car (used),2828,3,3,4,male : married/widowed,none,4,unknown / no property,22,stores,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",18-24
212,1,24,1,car (used),2483,3,3,4,male : married/widowed,none,4,unknown / no property,22,stores,2,1,3,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",18-24
213,3,6,4,others,1299,1,3,1,male : married/widowed,none,1,unknown / no property,74,none,2,3,1,3 or more,1,1,1,"(3.932, 10.8]","(231.826, 2067.4]",69-75
214,2,9,2,others,1549,5,2,4,male : married/widowed,none,2,unknown / no property,35,none,2,1,1,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",30-35
215,3,10,2,others,3949,1,2,1,male : married/widowed,guarantor,1,car or other,37,none,2,1,2,3 or more,1,2,1,"(3.932, 10.8]","(3884.8, 5702.2]",35-41
216,4,10,2,car (new),2901,5,2,1,female : non-single or male : single,none,4,unknown / no property,31,none,1,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",30-35
217,3,6,2,others,709,4,2,2,female : single,none,2,unknown / no property,27,none,2,1,1,0 to 2,1,1,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
218,1,47,2,others,10722,1,2,1,female : non-single or male : single,none,1,unknown / no property,35,none,2,1,2,0 to 2,2,2,1,"(44.8, 51.6]","(9337.0, 11154.4]",30-35
219,4,10,2,others,1287,5,5,4,male : married/widowed,co-applicant,2,car or other,45,none,2,1,2,0 to 2,1,1,1,"(3.932, 10.8]","(231.826, 2067.4]",41-47
220,1,18,1,furniture/equipment,1940,1,2,3,male : married/widowed,co-applicant,4,real estate,36,bank,3,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
221,3,30,4,furniture/equipment,3656,5,5,4,male : married/widowed,none,4,car or other,49,stores,2,2,2,0 to 2,1,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",47-52
222,4,24,3,car (new),4679,1,4,3,male : married/widowed,none,3,building soc. savings agr./life insurance,35,none,2,2,2,0 to 2,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
223,4,27,3,car (new),8613,4,3,2,male : married/widowed,none,2,building soc. savings agr./life insurance,27,none,2,2,3,0 to 2,1,2,1,"(24.4, 31.2]","(7519.6, 9337.0]",24-30
224,1,18,2,car (used),2659,4,3,4,male : married/widowed,none,2,building soc. savings agr./life insurance,28,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
225,4,24,4,furniture/equipment,1516,4,3,4,female : non-single or male : single,none,1,unknown / no property,43,none,2,2,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",41-47
226,1,18,2,others,4380,2,3,3,male : married/widowed,none,4,building soc. savings agr./life insurance,35,none,2,1,2,3 or more,2,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
227,4,14,3,others,802,1,3,4,male : married/widowed,none,2,building soc. savings agr./life insurance,27,none,2,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",24-30
228,4,21,2,retraining,1572,4,5,4,female : non-single or male : single,none,4,unknown / no property,36,bank,2,1,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
229,2,48,1,retraining,3566,2,4,4,male : married/widowed,none,2,building soc. savings agr./life insurance,30,none,2,1,3,0 to 2,1,2,1,"(44.8, 51.6]","(2067.4, 3884.8]",24-30
230,4,24,2,furniture/equipment,1278,1,5,4,male : married/widowed,none,1,unknown / no property,36,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",35-41
231,4,6,0,furniture/equipment,426,1,5,4,female : single,none,4,building soc. savings agr./life insurance,39,none,2,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",35-41
232,4,39,2,car (new),8588,2,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,45,none,2,1,4,0 to 2,2,2,1,"(38.0, 44.8]","(7519.6, 9337.0]",41-47
233,1,30,2,car (new),3857,1,3,4,male : divorced/separated,none,4,car or other,40,none,2,1,4,0 to 2,2,2,1,"(24.4, 31.2]","(2067.4, 3884.8]",35-41
234,2,12,2,others,685,1,4,2,female : single,none,3,building soc. savings agr./life insurance,25,bank,2,1,2,0 to 2,1,2,0,"(10.8, 17.6]","(231.826, 2067.4]",24-30
235,1,24,2,furniture/equipment,1603,1,5,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,55,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",52-58
236,4,21,2,car (used),2241,1,5,4,male : married/widowed,none,2,unknown / no property,50,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",47-52
237,1,24,2,furniture/equipment,2384,1,5,4,male : married/widowed,none,4,unknown / no property,64,bank,1,1,2,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",63-69
238,4,4,2,car (used),601,1,2,1,female : non-single or male : single,none,3,unknown / no property,23,none,1,1,2,3 or more,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
239,4,39,2,car (new),2569,3,3,4,male : married/widowed,none,4,building soc. savings agr./life insurance,24,none,2,1,3,0 to 2,1,2,1,"(38.0, 44.8]","(2067.4, 3884.8]",18-24
240,4,15,4,furniture/equipment,1316,3,3,2,female : single,none,2,car or other,47,none,2,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",41-47
241,4,60,2,others,10366,1,5,2,male : married/widowed,none,4,car or other,42,none,2,1,4,0 to 2,2,2,1,"(58.4, 65.2]","(9337.0, 11154.4]",41-47
242,4,18,2,retraining,1568,2,3,3,female : non-single or male : single,none,4,car or other,24,none,1,1,2,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",18-24
243,4,18,4,furniture/equipment,629,3,5,4,male : married/widowed,none,3,car or other,32,bank,2,2,4,0 to 2,2,2,1,"(17.6, 24.4]","(231.826, 2067.4]",30-35
244,4,6,1,furniture/equipment,1750,3,5,2,male : married/widowed,none,4,car or other,45,bank,2,1,2,3 or more,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",41-47
245,4,24,2,car (new),3488,2,4,3,female : non-single or male : single,none,4,building soc. savings agr./life insurance,23,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",18-24
246,4,18,4,furniture/equipment,1800,1,3,4,male : married/widowed,none,2,building soc. savings agr./life insurance,24,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(231.826, 2067.4]",18-24
247,4,24,3,car (used),4151,2,3,2,male : married/widowed,none,3,car or other,35,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",30-35
248,2,15,2,domestic appliances,2631,2,3,3,female : non-single or male : single,none,2,unknown / no property,25,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
249,4,21,2,car (new),5248,5,3,1,male : married/widowed,none,3,building soc. savings agr./life insurance,26,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(3884.8, 5702.2]",24-30
250,2,18,3,others,2899,5,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,43,none,2,1,3,3 or more,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",41-47
251,2,18,3,domestic appliances,6204,1,3,2,male : married/widowed,none,4,unknown / no property,44,none,2,1,2,3 or more,2,2,1,"(17.6, 24.4]","(5702.2, 7519.6]",41-47
252,4,12,2,furniture/equipment,804,1,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,38,none,2,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",35-41
253,4,36,2,furniture/equipment,3595,1,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,28,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(2067.4, 3884.8]",24-30
254,4,36,4,car (new),5711,4,5,4,male : married/widowed,none,2,building soc. savings agr./life insurance,38,none,2,2,4,0 to 2,2,2,1,"(31.2, 38.0]","(5702.2, 7519.6]",35-41
255,3,15,2,retraining,2687,1,4,2,male : married/widowed,none,4,car or other,26,none,1,1,3,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
256,1,15,3,car (used),3643,1,5,1,female : non-single or male : single,none,4,car or other,27,none,2,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
257,4,10,4,car (used),2146,1,2,1,female : non-single or male : single,none,3,unknown / no property,23,none,1,2,3,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",18-24
258,1,10,2,furniture/equipment,2315,1,5,3,male : married/widowed,none,4,unknown / no property,52,none,2,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",47-52
259,4,5,2,retraining,3448,1,4,1,male : married/widowed,none,4,unknown / no property,74,none,2,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",69-75
260,4,15,2,car (used),2708,1,2,2,male : married/widowed,none,3,car or other,27,bank,2,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",24-30
261,4,11,4,others,1393,1,2,4,female : non-single or male : single,none,4,building soc. savings agr./life insurance,35,none,2,2,4,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
262,3,10,2,car (used),1275,1,2,4,female : non-single or male : single,none,2,car or other,23,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
263,4,9,2,car (used),1313,1,5,1,male : married/widowed,none,4,building soc. savings agr./life insurance,20,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
264,4,12,2,furniture/equipment,1493,1,2,4,female : non-single or male : single,none,3,building soc. savings agr./life insurance,34,none,2,1,3,3 or more,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
265,4,22,2,furniture/equipment,2675,3,5,3,male : married/widowed,none,4,building soc. savings agr./life insurance,40,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",35-41
266,2,9,2,furniture/equipment,2118,1,3,2,male : married/widowed,none,2,unknown / no property,37,none,2,1,2,3 or more,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",35-41
267,4,36,2,others,909,3,5,4,male : married/widowed,none,4,car or other,36,none,2,1,3,0 to 2,1,2,1,"(31.2, 38.0]","(231.826, 2067.4]",35-41
268,4,12,4,car (used),1258,1,2,2,female : non-single or male : single,none,4,car or other,22,none,1,2,2,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",18-24
269,4,15,1,furniture/equipment,1569,2,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,34,bank,2,1,2,3 or more,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
270,4,6,2,car (new),1236,3,3,2,male : married/widowed,none,4,car or other,50,none,1,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",47-52
271,4,36,3,car (used),7678,3,4,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,40,none,2,2,3,0 to 2,2,2,1,"(31.2, 38.0]","(7519.6, 9337.0]",35-41
272,4,6,2,domestic appliances,660,3,4,2,female : single,none,4,unknown / no property,23,none,1,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",18-24
273,4,24,2,car (used),2835,3,5,3,male : married/widowed,none,4,car or other,53,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",52-58
274,4,24,2,car (new),2670,1,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,35,none,2,1,4,0 to 2,2,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",30-35
275,4,12,1,vacation,3447,3,3,4,female : non-single or male : single,none,3,unknown / no property,35,none,2,1,2,3 or more,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",30-35
276,4,15,2,furniture/equipment,3568,1,5,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,54,bank,1,1,4,0 to 2,2,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",52-58
277,2,21,4,retraining,3652,1,4,2,male : married/widowed,none,3,car or other,27,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
278,1,24,2,furniture/equipment,3660,1,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,28,none,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
279,3,9,2,furniture/equipment,1126,2,5,2,male : divorced/separated,none,4,unknown / no property,49,none,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",47-52
280,3,6,3,furniture/equipment,683,1,2,2,female : non-single or male : single,none,1,car or other,29,bank,2,1,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",24-30
281,3,12,2,car (used),2251,1,3,1,female : non-single or male : single,none,2,building soc. savings agr./life insurance,46,none,2,1,2,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",41-47
282,4,12,2,car (new),4675,5,2,1,female : non-single or male : single,none,4,building soc. savings agr./life insurance,20,none,1,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(3884.8, 5702.2]",18-24
283,2,21,3,others,2353,1,3,1,male : divorced/separated,none,4,car or other,47,none,2,2,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",41-47
284,1,21,2,furniture/equipment,3357,4,2,4,female : non-single or male : single,none,2,building soc. savings agr./life insurance,29,bank,2,1,3,0 to 2,1,2,1,"(17.6, 24.4]","(2067.4, 3884.8]",24-30
285,4,6,2,others,672,1,1,1,female : non-single or male : single,none,4,unknown / no property,54,none,2,1,1,0 to 2,2,2,1,"(3.932, 10.8]","(231.826, 2067.4]",52-58
286,1,6,4,furniture/equipment,338,3,5,4,male : married/widowed,none,4,building soc. savings agr./life insurance,52,none,2,2,3,0 to 2,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",47-52
287,4,9,2,furniture/equipment,2697,1,3,1,male : married/widowed,none,2,unknown / no property,32,none,2,1,3,3 or more,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",30-35
288,4,9,2,others,2507,3,5,2,male : married/widowed,none,4,real estate,51,none,3,1,2,0 to 2,1,2,1,"(3.932, 10.8]","(2067.4, 3884.8]",47-52
289,4,15,3,furniture/equipment,1478,1,3,4,female : single,none,3,unknown / no property,33,bank,2,2,3,0 to 2,1,2,1,"(10.8, 17.6]","(231.826, 2067.4]",30-35
290,4,12,4,repairs,3565,5,2,2,male : married/widowed,none,1,car or other,37,none,2,2,2,3 or more,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",35-41
291,4,15,2,car (used),2221,3,3,2,female : non-single or male : single,none,4,building soc. savings agr./life insurance,20,none,1,1,3,0 to 2,1,2,1,"(10.8, 17.6]","(2067.4, 3884.8]",18-24
292,4,6,4,furniture/equipment,1898,5,3,1,male : married/widowed,none,2,unknown / no property,34,none,2,2,2,3 or more,1,2,1,"(3.932, 10.8]","(231.826, 2067.4]",30-35
